TYPE;YEAR;MONTH;DAY;HOUR;MINUTE;HUNDRED_BLOCK;NEIGHBOURHOOD;Latitude;Longitude;PRIORITY
Other Theft;2003;5;12;16;15;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;5;7;15;20;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;23;16;40;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;20;11;15;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;12;17;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;3;26;20;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Break and Enter Residential/Other;2003;3;10;12;0;63XX WILTSHIRE ST;Kerrisdale;49.22805078;-123.1466105;YES
Mischief;2003;6;28;4;13;40XX W 19TH AVE;Dunbar-Southlands;49.25555918;-123.1937252;YES
Other Theft;2003;2;16;9;2;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Break and Enter Residential/Other;2003;7;9;18;15;18XX E 3RD AVE;Grandview-Woodland;49.26773386;-123.067654;YES
Other Theft;2003;1;31;19;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;NO
Mischief;2003;9;27;1;0;40XX W 21ST AVE;Dunbar-Southlands;49.25376204;-123.194407;NO
Break and Enter Residential/Other;2003;4;19;18;0;18XX E 3RD AVE;Grandview-Woodland;49.26781432;-123.0674411;NO
Break and Enter Residential/Other;2003;9;24;18;30;18XX E 3RD AVE;Grandview-Woodland;49.26773083;-123.0673017;NO
Break and Enter Residential/Other;2003;11;5;8;12;63XX WINDSOR ST;Sunset;49.22642977;-123.0852834;NO
Break and Enter Commercial;2003;9;26;2;30;10XX ALBERNI ST;West End;49.28471484;-123.1228242;NO
Break and Enter Residential/Other;2003;10;21;10;0;18XX E 3RD AVE;Grandview-Woodland;49.26781128;-123.0670888;NO
Other Theft;2003;1;25;12;30;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;1;9;6;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;30;13;6;9XX SEYMOUR ST;Central Business District;49.27937407;-123.1209199;NO
Other Theft;2003;12;12;15;50;9XX SEYMOUR ST;Central Business District;49.27870142;-123.1217697;NO
Other Theft;2003;3;7;16;15;9XX ROBSON ST;Central Business District;49.28269223;-123.1219323;YES
Mischief;2003;1;23;23;0;40XX W 27TH AVE;Dunbar-Southlands;49.24807387;-123.1948057;YES
Mischief;2003;4;1;0;0;40XX W 27TH AVE;Dunbar-Southlands;49.24815433;-123.194349;NO
Mischief;2003;6;29;0;30;40XX W 27TH AVE;Dunbar-Southlands;49.24806975;-123.1937798;YES
Mischief;2003;10;16;14;10;40XX W 27TH AVE;Dunbar-Southlands;49.24806975;-123.1937798;NO
Other Theft;2003;1;28;10;30;9XX NICOLA ST;West End;49.28661123;-123.1341283;NO
Theft from Vehicle;2003;8;5;12;25;10XX CARDERO ST;West End;49.28723347;-123.135476;NO
Theft from Vehicle;2003;6;17;16;15;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;6;13;12;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;6;11;15;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Mischief;2003;11;8;22;15;11XX HAMILTON ST;Central Business District;49.2758439;-123.1211037;NO
Theft from Vehicle;2003;4;21;17;0;11XX NOOTKA ST;Hastings-Sunrise;49.27462571;-123.0413255;YES
Mischief;2003;8;5;22;0;11XX HARO ST;West End;49.28472338;-123.1272377;YES
Theft from Vehicle;2003;8;19;6;15;10XX BROUGHTON ST;West End;49.2853767;-123.1336862;YES
Other Theft;2003;6;26;20;37;9XX DENMAN ST;West End;49.2903511;-123.1372304;YES
Other Theft;2003;12;1;14;37;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
Mischief;2003;9;2;9;25;13XX FRANCES ST;Grandview-Woodland;49.27941482;-123.0762036;YES
Mischief;2003;3;18;0;30;40XX W 31ST AVE;Dunbar-Southlands;49.24425895;-123.193814;YES
Other Theft;2003;10;18;10;50;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
Other Theft;2003;10;11;10;20;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
Other Theft;2003;5;28;18;51;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
Break and Enter Residential/Other;2003;6;30;23;0;64XX ARGYLE ST;Victoria-Fraserview;49.22591829;-123.0718007;YES
Other Theft;2003;5;5;2;0;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
Other Theft;2003;2;24;21;35;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
Other Theft;2003;2;4;23;50;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;YES
Break and Enter Residential/Other;2003;11;29;9;30;64XX ARGYLE ST;Victoria-Fraserview;49.22589822;-123.0716758;NO
Break and Enter Residential/Other;2003;1;25;15;39;64XX ARGYLE ST;Victoria-Fraserview;49.22600778;-123.071672;YES
Other Theft;2003;10;3;21;32;9XX CANADA PL;Central Business District;49.28810969;-123.115333;NO
Other Theft;2003;10;9;20;40;9XX BURRARD ST;West End;49.28217234;-123.1245969;NO
Other Theft;2003;9;6;16;25;9XX BURRARD ST;West End;49.28217234;-123.1245969;NO
Theft from Vehicle;2003;5;22;19;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;5;12;8;6;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;5;10;22;30;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;5;10;21;45;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;NO
Other Theft;2003;8;30;16;5;9XX BURRARD ST;West End;49.28217234;-123.1245969;YES
Mischief;2003;10;16;22;40;40XX W 34TH AVE;Dunbar-Southlands;49.24142262;-123.1946379;NO
Other Theft;2003;8;6;21;0;9XX BURRARD ST;West End;49.28217234;-123.1245969;NO
Other Theft;2003;7;30;20;30;9XX BURRARD ST;West End;49.28217234;-123.1245969;YES
Mischief;2003;4;13;22;0;40XX W 34TH AVE;Dunbar-Southlands;49.24141866;-123.1938356;YES
Break and Enter Commercial;2003;5;14;1;0;10XX BARCLAY ST;West End;49.28240982;-123.1258353;NO
Other Theft;2003;7;1;13;0;9XX BURRARD ST;West End;49.28217234;-123.1245969;NO
Mischief;2003;6;13;9;15;40XX W 35TH AVE;Dunbar-Southlands;49.24057505;-123.1947133;YES
Theft from Vehicle;2003;4;12;8;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Mischief;2003;10;29;22;15;40XX W 35TH AVE;Dunbar-Southlands;49.24057404;-123.1945146;NO
Break and Enter Residential/Other;2003;11;10;8;0;18XX E 53RD AVE;Victoria-Fraserview;49.22187452;-123.0684485;NO
Break and Enter Commercial;2003;12;25;5;55;10XX BEACH AVE;West End;49.2765718;-123.1343584;NO
Theft from Vehicle;2003;4;7;22;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;4;4;22;30;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;1;21;9;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;NO
Mischief;2003;9;29;22;0;40XX W 35TH AVE;Dunbar-Southlands;49.2404882;-123.1938344;YES
Mischief;2003;10;4;17;0;40XX W 35TH AVE;Dunbar-Southlands;49.2404882;-123.1938344;NO
Theft from Vehicle;2003;1;13;14;30;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;1;3;22;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;5;10;22;0;11XX MAINLAND ST;Central Business District;49.27464422;-123.1218633;YES
Theft from Vehicle;2003;6;11;13;0;11XX MAINLAND ST;Central Business District;49.2745671;-123.1219819;YES
Theft from Vehicle;2003;10;11;18;0;11XX MAINLAND ST;Central Business District;49.2746061;-123.1221003;NO
Theft from Vehicle;2003;1;18;15;30;11XX MAINLAND ST;Central Business District;49.2746061;-123.1221003;YES
Theft from Vehicle;2003;12;19;17;0;11XX MAIN ST;Central Business District;49.27447579;-123.100081;NO
Mischief;2003;9;25;21;0;40XX W 39TH AVE;Dunbar-Southlands;49.2365169;-123.196277;NO
Theft from Vehicle;2003;11;6;11;0;11XX MAIN ST;Central Business District;49.27447579;-123.100081;NO
Theft from Vehicle;2003;9;24;17;0;11XX MAIN ST;Central Business District;49.27447579;-123.100081;NO
Theft from Vehicle;2003;9;24;10;0;11XX MAIN ST;Central Business District;49.27447579;-123.100081;NO
Theft from Vehicle;2003;8;12;4;0;11XX MAIN ST;Central Business District;49.27447579;-123.100081;NO
Theft from Vehicle;2003;8;8;19;0;11XX MAIN ST;Central Business District;49.27447579;-123.100081;NO
Theft from Vehicle;2003;9;30;0;1;11XX MAIN ST;Central Business District;49.27428994;-123.1000905;NO
Theft from Vehicle;2003;9;25;16;0;11XX MAIN ST;Central Business District;49.27428994;-123.1000905;NO
Theft from Vehicle;2003;4;10;18;0;11XX MAIN ST;Central Business District;49.27428994;-123.1000905;YES
Theft from Vehicle;2003;1;2;23;55;11XX MAIN ST;Central Business District;49.27428994;-123.1000905;YES
Theft from Vehicle;2003;9;12;14;56;11XX MAIN ST;Central Business District;49.27422805;-123.1000937;NO
Theft from Vehicle;2003;3;22;22;0;11XX LAMEYS MILL RD;Fairview;49.26644234;-123.1293655;YES
Theft from Vehicle;2003;12;17;21;0;11XX KINGSWAY AVE;Kensington-Cedar Cottage;49.25259592;-123.0809324;NO
Theft from Vehicle;2003;8;11;17;30;11XX KINGSWAY AVE;Kensington-Cedar Cottage;49.25287052;-123.0817392;YES
Theft from Vehicle;2003;12;25;23;30;11XX JERVIS ST;West End;49.28321064;-123.1342484;NO
Theft from Vehicle;2003;8;26;23;0;11XX JERVIS ST;West End;49.28321064;-123.1342484;NO
Mischief;2003;9;9;21;0;40XX W 8TH AVE;West Point Grey;49.26531707;-123.195982;NO
Theft from Vehicle;2003;4;13;13;0;11XX JERVIS ST;West End;49.28321064;-123.1342484;YES
Break and Enter Residential/Other;2003;4;20;0;0;64XX CHESTER ST;Sunset;49.22574162;-123.0894562;YES
Mischief;2003;10;23;23;0;40XX W 8TH AVE;West Point Grey;49.26507508;-123.1935372;NO
Theft from Vehicle;2003;9;21;19;0;11XX JERVIS ST;West End;49.28287426;-123.1349103;NO
Theft from Vehicle;2003;2;10;22;30;11XX JERVIS ST;West End;49.28287426;-123.1349103;YES
Theft from Vehicle;2003;7;22;22;30;11XX IRONWORK PASS;Fairview;49.26793055;-123.1296451;YES
Theft from Vehicle;2003;11;24;22;30;11XX JERVIS ST;West End;49.28381277;-123.1333237;NO
Mischief;2003;8;2;4;0;40XX WELWYN ST;Kensington-Cedar Cottage;49.24905474;-123.0699681;NO
Mischief;2003;4;18;22;0;40XX WELWYN ST;Kensington-Cedar Cottage;49.2493029;-123.0698366;YES
Theft from Vehicle;2003;10;29;8;10;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Break and Enter Commercial;2003;11;2;18;30;10XX BEACH AVE;Central Business District;49.27614349;-123.1340113;NO
Theft from Vehicle;2003;10;11;23;0;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Theft from Vehicle;2003;9;9;13;30;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Theft from Vehicle;2003;8;25;0;15;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Theft from Vehicle;2003;5;27;6;15;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Theft from Vehicle;2003;5;22;15;30;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Mischief;2003;1;24;14;10;41XX ALEXANDRA ST;Shaughnessy;49.24931147;-123.1414339;NO
Break and Enter Residential/Other;2003;9;6;21;20;18XX E 6TH AVE;Grandview-Woodland;49.26509537;-123.0666109;NO
Break and Enter Residential/Other;2003;9;9;9;0;18XX E 7TH AVE;Grandview-Woodland;49.26420058;-123.067759;YES
Theft from Vehicle;2003;5;16;22;40;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;YES
Theft from Vehicle;2003;4;24;16;0;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Theft from Vehicle;2003;3;30;19;45;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;YES
Theft from Vehicle;2003;3;15;1;20;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;YES
Theft from Vehicle;2003;3;14;20;0;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;YES
Break and Enter Commercial;2003;4;8;4;45;10XX BURNABY ST;West End;49.27897776;-123.1311305;NO
Theft from Vehicle;2003;3;7;21;0;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;NO
Break and Enter Residential/Other;2003;4;28;8;0;64XX DUMFRIES ST;Victoria-Fraserview;49.22578995;-123.0744603;NO
Theft from Vehicle;2003;3;7;0;15;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;YES
Break and Enter Commercial;2003;9;16;1;45;10XX BEACH AVE;Central Business District;49.27607279;-123.1339282;NO
Theft from Vehicle;2003;1;20;7;0;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;YES
Mischief;2003;8;16;10;30;41XX BOUNDARY RD;Renfrew-Collingwood;49.24715468;-123.0239071;NO
Break and Enter Residential/Other;2003;10;9;5;45;18XX E 7TH AVE;Grandview-Woodland;49.26419937;-123.0675115;NO
Theft from Vehicle;2003;1;5;2;0;11XX HOWE ST;Central Business District;49.27876526;-123.1256579;YES
Theft from Vehicle;2003;1;23;10;0;11XX JERVIS ST;West End;49.28381277;-123.1333237;YES
Theft from Vehicle;2003;4;15;18;0;11XX KEEFER ST;Strathcona;49.27916448;-123.08123;YES
Theft from Vehicle;2003;12;3;18;0;11XX KEEFER ST;Strathcona;49.27908217;-123.0812301;NO
Theft from Vehicle;2003;4;11;17;30;11XX KEEFER ST;Strathcona;49.27908217;-123.0812301;YES
Break and Enter Residential/Other;2003;12;24;12;0;18XX E 7TH AVE;Grandview-Woodland;49.26419537;-123.0666625;NO
Break and Enter Residential/Other;2003;5;2;13;33;18XX E 7TH AVE;Grandview-Woodland;49.26419521;-123.0666271;YES
Theft from Vehicle;2003;9;7;18;30;11XX HOWE ST;Central Business District;49.27866939;-123.125802;NO
Theft from Vehicle;2003;11;29;13;30;11XX PACIFIC BLVD;Central Business District;49.27441867;-123.1189699;NO
Theft from Vehicle;2003;9;10;9;0;11XX PACIFIC BLVD;Central Business District;49.27441867;-123.1189699;NO
Theft from Vehicle;2003;8;17;15;45;11XX PACIFIC BLVD;Central Business District;49.27441867;-123.1189699;NO
Theft from Vehicle;2003;5;10;8;0;11XX PACIFIC BLVD;Central Business District;49.27441867;-123.1189699;YES
Mischief;2003;12;14;14;0;13XX HARO ST;West End;49.28631424;-123.1296856;NO
Mischief;2003;11;27;14;0;41XX COMMERCIAL ST;Kensington-Cedar Cottage;49.24812064;-123.0677612;NO
Theft from Vehicle;2003;1;7;20;0;11XX PACIFIC BLVD;Central Business District;49.27441867;-123.1189699;YES
Theft from Vehicle;2003;9;5;0;0;11XX HOWE ST;Central Business District;49.27866939;-123.125802;NO
Theft from Vehicle;2003;5;8;0;0;11XX PACIFIC BLVD;Central Business District;49.27460944;-123.1195956;YES
Theft from Vehicle;2003;10;1;18;21;11XX PACIFIC BLVD;Central Business District;49.27445534;-123.1202996;NO
Break and Enter Residential/Other;2003;2;10;14;37;18XX E 8TH AVE;Grandview-Woodland;49.26320984;-123.0669885;YES
Theft from Vehicle;2003;7;18;8;40;11XX PACIFIC BLVD;Central Business District;49.27445534;-123.1202996;YES
Mischief;2003;2;10;1;0;41XX DUNBAR ST;Dunbar-Southlands;49.24917423;-123.185138;YES
Mischief;2003;2;8;20;0;41XX DUNBAR ST;Dunbar-Southlands;49.24933219;-123.1851371;YES
Theft from Vehicle;2003;5;15;22;0;11XX PACIFIC BLVD;Central Business District;49.27445534;-123.1202996;YES
Theft from Vehicle;2003;1;23;18;3;11XX PACIFIC BLVD;Central Business District;49.27445534;-123.1202996;YES
Theft from Vehicle;2003;8;15;0;30;11XX HOWE ST;Central Business District;49.27866939;-123.125802;NO
Break and Enter Residential/Other;2003;2;24;15;0;18XX E 8TH AVE;Grandview-Woodland;49.26320782;-123.0667586;YES
Theft from Vehicle;2003;3;3;18;0;11XX PACIFIC BLVD;Central Business District;49.27410807;-123.1207015;YES
Theft from Vehicle;2003;8;3;17;30;11XX HOWE ST;Central Business District;49.27866939;-123.125802;NO
Mischief;2003;12;2;21;30;41XX FRASER ST;Kensington-Cedar Cottage;49.24860929;-123.090093;YES
Theft from Vehicle;2003;7;18;8;0;11XX HOWE ST;Central Business District;49.27866939;-123.125802;YES
Theft from Vehicle;2003;7;17;10;0;11XX HOWE ST;Central Business District;49.27866939;-123.125802;YES
Theft from Vehicle;2003;5;2;21;0;11XX HOWE ST;Central Business District;49.27866939;-123.125802;YES
Mischief;2003;1;27;3;0;13XX HARWOOD ST;West End;49.2815014;-123.1371411;NO
Mischief;2003;2;13;15;0;41XX GLADSTONE ST;Kensington-Cedar Cottage;49.24802757;-123.0605719;YES
Mischief;2003;5;16;13;0;41XX GLADSTONE ST;Kensington-Cedar Cottage;49.24802757;-123.0605719;YES
Break and Enter Residential/Other;2003;5;12;9;20;18XX E 8TH AVE;Grandview-Woodland;49.26328936;-123.0666802;YES
Mischief;2003;6;17;12;30;41XX GLADSTONE ST;Kensington-Cedar Cottage;49.24802757;-123.0605719;YES
Mischief;2003;6;24;9;50;41XX GLADSTONE ST;Kensington-Cedar Cottage;49.24802757;-123.0605719;YES
Mischief;2003;10;10;20;30;41XX GLADSTONE ST;Kensington-Cedar Cottage;49.24802757;-123.0605719;NO
Theft from Vehicle;2003;4;27;18;30;11XX HOWE ST;Central Business District;49.27866939;-123.125802;NO
Theft from Vehicle;2003;3;30;17;40;11XX HOWE ST;Central Business District;49.27866939;-123.125802;YES
Theft from Vehicle;2003;1;12;18;0;11XX HOWE ST;Central Business District;49.27866939;-123.125802;YES
Theft from Vehicle;2003;1;1;4;15;11XX HOWE ST;Central Business District;49.27866939;-123.125802;NO
Theft from Vehicle;2003;1;1;0;0;11XX HOWE ST;Central Business District;49.27866939;-123.125802;NO
Theft from Vehicle;2003;6;17;15;0;11XX KEEFER ST;Strathcona;49.27908186;-123.080649;YES
Theft from Vehicle;2003;5;5;14;30;11XX HOWE ST;Central Business District;49.27859298;-123.1260934;YES
Theft from Vehicle;2003;5;4;21;30;11XX HOWE ST;Central Business District;49.27849711;-123.1262375;YES
Break and Enter Residential/Other;2003;7;12;17;0;18XX E 8TH AVE;Grandview-Woodland;49.26320157;-123.0660432;YES
Theft from Vehicle;2003;6;4;22;30;11XX LAMEYS MILL RD;Fairview;49.26635679;-123.1290448;YES
Theft from Vehicle;2003;12;23;0;0;11XX HOWE ST;Central Business District;49.27792183;-123.1269262;NO
Theft from Vehicle;2003;8;2;18;0;11XX HOWE ST;Central Business District;49.27792183;-123.1269262;YES
Break and Enter Commercial;2003;6;21;20;30;10XX BURRARD ST;West End;49.28028527;-123.1274579;NO
Break and Enter Residential/Other;2003;1;21;21;45;18XX E GEORGIA ST;Grandview-Woodland;49.27841223;-123.067962;NO
Break and Enter Residential/Other;2003;5;5;14;0;18XX E GEORGIA ST;Grandview-Woodland;49.27841223;-123.067962;YES
Break and Enter Residential/Other;2003;7;3;23;0;18XX E GEORGIA ST;Grandview-Woodland;49.27841223;-123.067962;YES
Theft from Vehicle;2003;7;8;7;45;11XX HOWE ST;Central Business District;49.27792183;-123.1269262;NO
Theft from Vehicle;2003;6;25;7;0;11XX HOWE ST;Central Business District;49.27792183;-123.1269262;NO
Theft from Vehicle;2003;6;21;20;50;11XX HOWE ST;Central Business District;49.27792183;-123.1269262;NO
Theft from Vehicle;2003;6;16;21;0;11XX HOWE ST;Central Business District;49.27792183;-123.1269262;NO
Other Theft;2017;1;14;22;29;22XX W 4TH AVE;Kitsilano;49.26820712;-123.1560819;YES
Vehicle Collision or Pedestrian Struck (with Injury);2017;3;25;19;30;X STANLEY PARK CSWY;Stanley Park;49.29452892;-123.136762;YES
Break and Enter Residential/Other;2017;3;4;10;35;30XX PINE ST;Fairview;49.25877829;-123.1436368;YES
Break and Enter Residential/Other;2017;4;30;1;0;30XX POINT GREY RD;Kitsilano;49.27106919;-123.1734426;NO
Theft of Vehicle;2017;1;16;1;7;30XX HEATHER ST;Fairview;49.25859576;-123.1199997;NO
Other Theft;2017;2;25;9;55;7XX BUTE ST;West End;49.28621328;-123.1265533;YES
Theft from Vehicle;2017;6;30;12;0;8XX E 6TH AVE;Mount Pleasant;49.26524511;-123.0870737;YES
Theft of Bicycle;2017;6;20;19;0;19XX WHYTE AVE;Kitsilano;49.27538423;-123.1484157;YES
Theft from Vehicle;2017;4;8;15;30;8XX E 6TH AVE;Mount Pleasant;49.2651629;-123.0870741;YES
Other Theft;2017;2;7;14;41;8X W PENDER ST;Central Business District;49.28094562;-123.1071512;YES
Other Theft;2017;5;3;16;7;11XX HOMER ST;Central Business District;49.27605034;-123.1219536;YES
Theft from Vehicle;2017;4;25;6;11;13XX HARWOOD ST;West End;49.28148577;-123.1371172;YES
Theft from Vehicle;2017;1;2;1;0;2XX E 11TH AVE;Mount Pleasant;49.2610721;-123.1009496;YES
Theft of Vehicle;2017;1;11;22;0;65XX FLEMING ST;Victoria-Fraserview;49.22516007;-123.0731018;YES
Theft from Vehicle;2017;3;16;18;30;8XX E 6TH AVE;Mount Pleasant;49.2651629;-123.0870741;YES
Break and Enter Residential/Other;2017;5;13;20;21;30XX W 27TH AVE;Dunbar-Southlands;49.24797971;-123.1731009;YES
Break and Enter Residential/Other;2017;6;7;8;28;30XX W 45TH AVE;Kerrisdale;49.23097462;-123.1735954;YES
Theft of Bicycle;2017;4;22;8;0;2XX E 51ST AVE;Sunset;49.22377513;-123.1010695;YES
Break and Enter Commercial;2017;2;2;8;17;3XX RAILWAY ST;Strathcona;49.28457338;-123.0968617;NO
Theft of Bicycle;2017;4;25;23;0;30XX W 12TH AVE;Kitsilano;49.26149957;-123.1728295;YES
Other Theft;2017;3;12;15;7;3XX ABBOTT ST;Central Business District;49.28263588;-123.1069854;YES
Mischief;2017;4;15;14;0;14XX E HASTINGS ST;Grandview-Woodland;49.28128613;-123.0755956;YES
Theft from Vehicle;2017;6;19;8;30;HOWE ST / W CORDOVA ST;Central Business District;49.28660922;-123.1138654;YES
Vehicle Collision or Pedestrian Struck (with Injury);2017;7;10;9;20;YUKON ST / W 10TH AVE;Mount Pleasant;49.262208;-123.1129226;YES
Theft of Bicycle;2017;3;15;17;0;21XX BRIAR AVE;Arbutus Ridge;49.24968769;-123.1537916;YES
Theft of Vehicle;2017;3;10;0;0;36XX CAMBRIDGE ST;Hastings-Sunrise;49.28665438;-123.0252203;YES
Theft from Vehicle;2017;3;26;15;0;26XX E 49TH AVE;Victoria-Fraserview;49.22476315;-123.0546574;YES
Theft from Vehicle;2017;2;9;22;0;HOWE ST / W CORDOVA ST;Central Business District;49.28660922;-123.1138654;YES
Mischief;2017;5;25;20;0;E 11TH AVE / KINGSWAY AVE;Mount Pleasant;49.26107142;-123.0977635;YES
Break and Enter Residential/Other;2017;6;17;12;29;30XX W 7TH AVE;Kitsilano;49.26589132;-123.1726975;YES
Mischief;2017;1;18;14;44;14XX E HASTINGS ST;Grandview-Woodland;49.28127643;-123.0747459;YES
Break and Enter Residential/Other;2017;3;3;9;16;31XX ADANAC ST;Hastings-Sunrise;49.27742035;-123.0375953;YES
Mischief;2017;5;29;22;30;14XX E 7TH AVE;Grandview-Woodland;49.26416346;-123.0751293;YES
Theft from Vehicle;2017;6;5;17;0;8XX HAMILTON ST;Central Business District;49.2781684;-123.1170307;YES
Vehicle Collision or Pedestrian Struck (with Injury);2017;6;6;17;38;13XX BLOCK PARK DR;Marpole;49.21570644;-123.1345121;YES